"townid","town","county","x","full_address","full_address_Ire","lon","lat"
371,"Firhouse","Dublin","","Firhouse,Dublin","Firhouse,Dublin,Ireland",-6.3421535,53.2817329
1795,"Firies","Kerry","","Firies,Kerry","Firies,Kerry,Ireland",-9.59718,52.17019
1743,"Fitzwilliam Place","","","Fitzwilliam Place,","Fitzwilliam Place,,Ireland",-6.2519162,53.3339847
2122,"Fivemilebourne","","","Fivemilebourne,","Fivemilebourne,,Ireland",-8.333644,54.2744199
2643,"Fivemilebridge","Cork","","Fivemilebridge,Cork","Fivemilebridge,Cork,Ireland",-8.49144,51.81714
2243,"Fivemiletown","Tyrone","","Fivemiletown,Tyrone","Fivemiletown,Tyrone,Ireland",-7.3175951,54.3775293
2278,"Flagmount","Clare","","Flagmount,Clare","Flagmount,Clare,Ireland",-8.6476085,52.9886685
433,"Florencecourt","Fermanagh","","Florencecourt,Fermanagh","Florencecourt,Fermanagh,Ireland",-7.725696,54.2602866
2574,"Fontstown","Kildare","","Fontstown,Kildare","Fontstown,Kildare,Ireland",-6.88932,53.05263
1737,"Forkhill","Armagh","","Forkhill,Armagh","Forkhill,Armagh,Ireland",-6.44894,54.08262
937,"Foulksmills","Wexford","","Foulksmills,Wexford","Foulksmills,Wexford,Ireland",-6.75118,52.31388
1991,"Fountainstown","Cork","","Fountainstown,Cork","Fountainstown,Cork,Ireland",-8.3431956,51.7783314
1031,"Four Mile House","Roscommon","","Four Mile House,Roscommon","Four Mile House,Roscommon,Ireland",-8.207473,53.7105503
1790,"Four Roads","Roscommon","","Four Roads,Roscommon","Four Roads,Roscommon,Ireland",-8.2222287,53.5155579
1030,"Fourknocks","","","Fourknocks,","Fourknocks,,Ireland",-6.3264915,53.5965655
1650,"Four-Mile-House","Roscommon","","Four-Mile-House,Roscommon","Four-Mile-House,Roscommon,Ireland",-8.207473,53.7105503
2177,"Foxfield","Dublin","","Foxfield,Dublin","Foxfield,Dublin,Ireland",-6.1594224,53.3834694
716,"Foxford","Mayo","","Foxford,Mayo","Foxford,Mayo,Ireland",-9.113245,53.9807726
1217,"Foxhill","Dublin","","Foxhill,Dublin","Foxhill,Dublin,Ireland",-6.1767667,53.3956336
372,"Foxrock","Dublin","","Foxrock,Dublin","Foxrock,Dublin,Ireland",-6.1840102,53.2668889
1753,"Foylesprings","","","Foylesprings,","Foylesprings,,Ireland",-7.3408744,55.0131675
648,"Foynes","Limerick","","Foynes,Limerick","Foynes,Limerick,Ireland",-9.1051123,52.6105253
1862,"Frankfield","Cork","","Frankfield,Cork","Frankfield,Cork,Ireland",-8.4646539,51.8670638
166,"Freemount","Cork","","Freemount,Cork","Freemount,Cork,Ireland",-8.8851233,52.2765601
794,"Frenchpark","Roscommon","","Frenchpark,Roscommon","Frenchpark,Roscommon,Ireland",-8.4074281,53.8695107
570,"Freshford","Kilkenny","","Freshford,Kilkenny","Freshford,Kilkenny,Ireland",-7.3968551,52.7325047
2473,"Friars Walk","Cork","","Friars Walk,Cork","Friars Walk,Cork,Ireland",-8.4757416,51.8889777
2589,"Friarstown","Carlow","","Friarstown,Carlow","Friarstown,Carlow,Ireland",-6.8167289,52.8365089
259,"Frosses","Donegal","","Frosses,Donegal","Frosses,Donegal,Ireland",-8.243579,54.6687695
1122,"Fuerty","Roscommon","","Fuerty,Roscommon","Fuerty,Roscommon,Ireland",-8.2591228,53.6131024
466,"Furbo","Galway","","Furbo,Galway","Furbo,Galway,Ireland",-9.12,53.15
845,"Galbally","Tipperary","","Galbally,Tipperary","Galbally,Tipperary,Ireland",-8.2961252,52.4012269
